O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
6609730,151849,O,141995.78,8/12/1997,1-URGENT,Clerk#000002009,0,the careful braids nag after th
6609731,612464,F,46370.67,6/17/1994,4-NOT SPECIFIED,Clerk#000003871,0,riously bold requests. even instructions wake blithely. final din
6609732,681907,O,175986.22,8/7/1996,2-HIGH,Clerk#000001141,0,lithely pending theod
6609733,777944,O,53044.49,11/13/1997,1-URGENT,Clerk#000004203,0,inly express accounts sleep packages. quickly final 
6609734,888841,O,55866.98,3/8/1998,5-LOW,Clerk#000002762,0,rly requests. ironic packages haggle above the unusual deposits. fluffily
6609735,233906,F,206457.30,12/9/1992,5-LOW,Clerk#000006789,0,ing packages wake furiously braids. dogged accounts 
6609760,1242151,O,254829.92,5/31/1996,4-NOT SPECIFIED,Clerk#000006736,0,"ole blithely final deposits. daring, ironic pinto bean"
6609761,1303651,P,53923.65,2/27/1995,3-MEDIUM,Clerk#000005397,0,ously regular theodo
6609762,1444639,O,248835.58,1/14/1996,3-MEDIUM,Clerk#000005660,0,zle furiously final req
6609763,1046333,O,225456.02,9/11/1995,1-URGENT,Clerk#000002256,0, final pinto beans nag blithely. slyly ironic depos
6609764,1205264,O,57869.83,7/31/1997,3-MEDIUM,Clerk#000000444,0,ckly even accounts nag
6609765,859528,O,136149.49,10/11/1996,4-NOT SPECIFIED,Clerk#000004654,0,ronically against t
6609766,1074241,O,70204.06,2/3/1998,1-URGENT,Clerk#000005381,0,quickly ironic tithes. blithely 
6609767,753422,O,170112.11,3/11/1997,4-NOT SPECIFIED,Clerk#000003404,0,uffily even warhorses sleep against the pending pains.
6609792,1259065,O,53437.98,11/17/1995,2-HIGH,Clerk#000000073,0,cajole. final deposits are about the ru
6609793,577007,F,160168.58,12/2/1993,4-NOT SPECIFIED,Clerk#000003625,0,lyly ironic foxes. pending instructions are after the ironic excuses: furiou
6609794,241003,O,244497.93,11/11/1996,3-MEDIUM,Clerk#000000655,0,"nically against the furiously ironic instructions. express, bold deposits c"
6609795,528802,F,125565.39,11/24/1992,2-HIGH,Clerk#000009466,0,round the blithely ironic foxes cajole slyly furiousl
6609796,61930,F,220198.65,5/28/1993,2-HIGH,Clerk#000003848,0," deposits cajole above the quickly unusual requests. special, special"
6609797,1336186,F,262201.91,2/24/1994,3-MEDIUM,Clerk#000009632,0,ms; final accounts 
6609798,761837,F,30197.82,9/5/1992,3-MEDIUM,Clerk#000004482,0,uickly special deposi
6609799,178708,F,405179.61,1/20/1992,4-NOT SPECIFIED,Clerk#000002774,0,ns. even instruction
6609824,529000,F,117060.98,5/3/1993,2-HIGH,Clerk#000001235,0,ithely even excuses. fur
6609825,372730,F,169531.16,2/24/1992,5-LOW,Clerk#000002639,0,carefully ironic accou
6609826,464011,F,178678.67,8/19/1992,5-LOW,Clerk#000008804,0,gly pending requests are slyly. regularly bold frets are
6609827,114694,F,165570.54,9/30/1994,4-NOT SPECIFIED,Clerk#000000254,0,"yly ironic deposits nag closely against the decoys. regular, "
6609828,131990,O,46388.37,9/29/1996,2-HIGH,Clerk#000009634,0,e slyly express foxes: even ideas detect always against the bu
6609829,1352593,O,317525.17,5/11/1998,1-URGENT,Clerk#000002871,0,"sleep. regular, express forges"
6609830,505762,F,147887.76,8/2/1994,5-LOW,Clerk#000008779,0,ackages above the regular excuses x-ray against th
6609831,1318576,O,12836.78,12/2/1995,2-HIGH,Clerk#000000901,0,s. slyly pending asymptotes above the slyly unusual 
6609856,274168,F,122742.24,2/9/1995,1-URGENT,Clerk#000007401,0, regular tithes. special pinto bea
6609857,1409497,O,184778.26,9/16/1995,2-HIGH,Clerk#000005380,0, carefully. foxes wake. expre
6609858,1390402,O,159054.44,8/1/1996,1-URGENT,Clerk#000006959,0,osits. carefully ironic instruct
6609859,1464856,O,298786.48,2/7/1996,1-URGENT,Clerk#000008181,0, regular escapades. slyly regular platelets boost re
6609860,305575,O,77179.52,6/4/1997,4-NOT SPECIFIED,Clerk#000002193,0, furiously final foxes are blithely am
6609861,1290982,O,171034.47,7/21/1996,5-LOW,Clerk#000005579,0,regular pinto beans. ex
6609862,1271,F,92337.84,6/26/1993,4-NOT SPECIFIED,Clerk#000003024,0, are alongside of the slyly pending instructions. in
6609863,346067,O,102073.63,5/8/1997,2-HIGH,Clerk#000003441,0,instructions. slyly quiet deposits after the blithely final as
6609888,832192,F,117669.83,5/12/1993,5-LOW,Clerk#000004627,0,lar ideas. furiously unusual 
6609889,636245,O,179149.14,3/25/1997,3-MEDIUM,Clerk#000005078,0, packages run blithely at the furiously ironic accounts. ex
6609890,1366241,O,260423.04,9/13/1995,5-LOW,Clerk#000007840,0,"s. express dependencies instead of the fluffy, pending requests are carefu"
6609891,399133,O,202925.09,3/21/1996,2-HIGH,Clerk#000006859,0,"lve. silent, special requests are slyly fluffy deposi"
6609892,218068,P,103745.96,4/18/1995,5-LOW,Clerk#000007998,0,sits sleep carefully packages: slyly express
6609893,550195,O,107984.52,6/17/1995,5-LOW,Clerk#000007868,0, dolphins are furiously-- pending dep
6609894,1126915,O,131335.70,9/12/1996,2-HIGH,Clerk#000003814,0,accounts. theodolites ab
6609895,1038934,F,58188.76,5/11/1993,1-URGENT,Clerk#000006735,0,ackages. quickly final excuses haggle closely above the requests. slyly regu
6609920,1345153,O,131678.63,12/28/1997,5-LOW,Clerk#000002937,0,. furiously bold waters according to the slyly regular pinto beans nag
6609921,1467010,O,53781.16,6/10/1995,2-HIGH,Clerk#000008294,0,"gular, final theodolites along the blithely final"
6609922,521371,F,41099.29,9/10/1993,3-MEDIUM,Clerk#000005691,0,are fluffily furiously unusual dolphins. furiously final requests wake f
6609923,1172599,F,43075.86,1/28/1993,4-NOT SPECIFIED,Clerk#000007329,0,instructions haggle quickly-- blithely final instr
6609924,858433,O,78020.64,5/29/1997,3-MEDIUM,Clerk#000001919,0,after the accounts. frets haggle slyly. pending dependencies caj
6609925,677080,F,206063.09,3/28/1994,5-LOW,Clerk#000007029,0,he furiously bold requests. final theodolites h
6609926,675964,F,101247.61,8/3/1994,1-URGENT,Clerk#000005082,0,ng instructions. slyly final dependencies d
6609927,1407775,F,171795.65,7/4/1992,1-URGENT,Clerk#000009923,0,"egular, special dependencies. fl"
6609952,952624,O,192392.36,3/16/1996,5-LOW,Clerk#000006196,0,ole slyly carefully regular packages. regular deposits haggl
6609953,1242022,O,96583.40,8/28/1995,4-NOT SPECIFIED,Clerk#000004136,0,"lly above the slyly pending accounts. special,"
6609954,661511,P,87693.41,6/12/1995,1-URGENT,Clerk#000007313,0,"foxes-- unusual, ev"
6609955,1499722,O,84448.07,4/10/1998,4-NOT SPECIFIED,Clerk#000006624,0,breach carefully blithely final deposits. fluffily special 
6609956,1324805,O,145759.03,3/4/1996,3-MEDIUM,Clerk#000004633,0,iously bold theodolites cajole blithely daring deposits. s
6609957,1494955,F,213699.41,1/6/1994,4-NOT SPECIFIED,Clerk#000003262,0,r asymptotes. fluffily sly instructions sleep
6609958,704510,O,198033.27,8/2/1996,4-NOT SPECIFIED,Clerk#000008109,0, express asymptotes cajole blithely across the som
6609959,1193269,O,185193.31,2/19/1996,2-HIGH,Clerk#000001448,0,x. slyly quiet instructions sleep accordi
6609984,265607,F,120255.01,11/8/1992,2-HIGH,Clerk#000005839,0,"nts. unusual, regular pinto beans are courts. blithely ironic requests "
6609985,55139,O,128415.30,10/28/1995,5-LOW,Clerk#000002753,0,"uickly bold epitaphs. pending, pending pinto beans haggle c"
6609986,1216358,F,107816.86,10/14/1994,2-HIGH,Clerk#000005699,0,uests. blithely enticing theodolites run quickly. b
6609987,1317841,O,50795.31,5/6/1996,1-URGENT,Clerk#000002113,0,"lar theodolites nag among the special, thin requests. blithely regu"
6609988,1442176,F,91238.77,1/28/1994,1-URGENT,Clerk#000005975,0,ymptotes use slyly blithely express 
6609989,145564,O,7695.65,12/2/1996,3-MEDIUM,Clerk#000008547,0,"egular, regular deposits promise carefully acro"
6609990,1473232,F,113660.11,11/23/1993,5-LOW,Clerk#000008857,0,"ter the unusual, pending packages x-ray furiously according to the furi"
6609991,98608,F,171661.83,10/19/1993,5-LOW,Clerk#000007371,0,l packages. final dolp
6610016,1301503,F,59039.00,1/13/1993,5-LOW,Clerk#000008459,0,gs haggle above the packages. blithely
6610017,1348481,P,19031.27,5/10/1995,1-URGENT,Clerk#000009460,0,arefully regular foxes cajole. furiously
6610018,417113,O,48567.49,10/17/1995,1-URGENT,Clerk#000003638,0,! quickly regular deposits 
6610019,908860,O,184373.43,2/17/1997,5-LOW,Clerk#000007431,0,uickly final foxes are carefully regular depths. carefully bold accounts sl
6610020,683756,F,159937.00,5/9/1994,3-MEDIUM,Clerk#000005483,0,"s. final, express packages wake slyly unusual foxes. regular, p"
6610021,376844,F,93084.41,7/9/1993,1-URGENT,Clerk#000008515,0,y regular requests sleep. slyly bold pinto
6610022,601495,O,90585.46,1/27/1996,1-URGENT,Clerk#000008956,0,asymptotes. unusual theodolites to the slyly regular grouches print 
6610023,820207,O,284441.37,12/17/1996,3-MEDIUM,Clerk#000001994,0,"re quickly across the slyly even theodolites. pending, bold plate"
6610048,199612,F,74520.70,3/16/1993,5-LOW,Clerk#000001540,0,l instructions try to serve slyly regular pinto beans. slyly express package
6610049,862069,F,27603.22,8/21/1992,3-MEDIUM,Clerk#000001012,0," unusual courts. final, ironic accounts sleep furiously. deposits haggle about"
6610050,262229,F,39848.40,1/1/1994,1-URGENT,Clerk#000002973,0,"ly even accounts. excuses wake after the ironic, quiet instr"
6610051,268546,P,176947.24,4/29/1995,4-NOT SPECIFIED,Clerk#000006133,0, express deposits. dolphins about the slyly unusual reque
6610052,1438535,F,156340.71,8/8/1992,4-NOT SPECIFIED,Clerk#000002984,0,carefully. stealthy requests haggle across the evenly pending packag
6610053,454243,F,155060.13,6/4/1993,1-URGENT,Clerk#000005372,0,tructions. carefully unusual instructio
6610054,939016,F,261746.79,6/13/1992,2-HIGH,Clerk#000005845,0, packages. deposits serve quickly blithely ironic requests. blithely bo
6610055,526046,O,108452.14,8/18/1995,2-HIGH,Clerk#000008200,0,silently express requests? carefully unusual accounts use carefully
6610080,252196,O,142352.29,3/14/1997,3-MEDIUM,Clerk#000005095,0,ly even deposits. fu
6610081,1131145,F,150098.18,11/13/1992,4-NOT SPECIFIED,Clerk#000006857,0,"ccounts. final, pen"
6610082,152255,F,42486.25,3/16/1992,2-HIGH,Clerk#000001384,0,s excuses. furiously regular deposits doze quickly furiously ironic packa
6610083,1449124,F,82799.22,1/26/1994,4-NOT SPECIFIED,Clerk#000006694,0,"ven, final platelets. packages hagg"
6610084,1398667,O,176067.80,11/15/1995,4-NOT SPECIFIED,Clerk#000003852,0, requests. furiously even accounts inte
6610085,884503,F,8417.70,10/1/1994,4-NOT SPECIFIED,Clerk#000004069,0," the furiously even pains nag blithely final packages. bold, reg"
6610086,813056,O,89906.31,6/8/1998,4-NOT SPECIFIED,Clerk#000003237,0,e the slyly final accounts. fluffily brave asymptotes doubt car
6610087,25625,O,77253.71,6/25/1996,1-URGENT,Clerk#000000518,0,ar requests against the blithely final courts are furiously unusual account
6610112,178214,F,257935.84,12/5/1992,4-NOT SPECIFIED,Clerk#000000779,0,ns wake blithely about the pending 
6610113,1228265,O,119059.38,6/29/1998,1-URGENT,Clerk#000009807,0,furiously according to the always special excuses. express ide
6610114,447710,F,43320.83,10/24/1993,2-HIGH,Clerk#000003283,0,"nusual instructions. regular, express ideas sleep c"
6610115,647632,O,14113.67,10/11/1997,2-HIGH,Clerk#000002222,0,e asymptotes haggle furiously slyly silent warthogs. bold dolphins cajo
6610116,739624,F,150150.42,6/16/1992,3-MEDIUM,Clerk#000009719,0,y busy ideas. fluffily special foxes cajole quickly along the permanently
6610117,339551,F,65674.96,9/12/1992,4-NOT SPECIFIED,Clerk#000007176,0,blithely final packages. carefully even attainments
6610118,831022,O,28936.92,9/29/1997,2-HIGH,Clerk#000006452,0,eodolites wake ironically. quickly bold instructions cajole furiously qu
6610119,468313,O,248204.04,8/2/1998,2-HIGH,Clerk#000004720,0,asymptotes. even platelets sl
6610144,432352,O,5411.00,10/30/1997,5-LOW,Clerk#000003023,0, foxes alongside of the packages haggle sly
6610145,533876,F,71836.69,4/14/1994,3-MEDIUM,Clerk#000004055,0,lessly pending requests. even pinto beans d
6610146,1342439,F,195262.53,7/17/1994,5-LOW,Clerk#000009171,0, express pinto beans haggle car
6610147,868493,O,46187.36,12/3/1996,3-MEDIUM,Clerk#000003326,0,hely bold epitaphs along the sauternes ca
6610148,247060,F,208510.07,11/22/1994,5-LOW,Clerk#000007498,0,"pendencies. furiously final realms sublate carefully. final, iro"
6610149,318869,F,206357.00,1/12/1992,1-URGENT,Clerk#000003092,0,inal hockey players believe daringly pac
6610150,1230262,O,51712.66,3/21/1998,5-LOW,Clerk#000004424,0,"r accounts haggle furiously regular, b"
6610151,1003064,F,253431.41,11/17/1993,4-NOT SPECIFIED,Clerk#000005684,0,posits are along the furiously even ideas-- silently even packages
6610176,1494313,F,47693.53,1/7/1993,2-HIGH,Clerk#000006153,0,ermanent requests integrate furiously after the enticingly final foxes. quick
6610177,412796,O,250855.24,6/12/1995,4-NOT SPECIFIED,Clerk#000008177,0,structions. pinto beans across the slyly 
6610178,355270,O,149979.36,6/29/1997,5-LOW,Clerk#000006745,0,unusual dependencies serve slyly according t
6610179,1009478,O,150725.82,12/30/1997,5-LOW,Clerk#000002363,0,eodolites. quickly express requests haggle 
6610180,1286756,O,287386.75,1/19/1997,2-HIGH,Clerk#000001485,0,ress requests are fl
6610181,1001212,F,187765.66,5/22/1994,3-MEDIUM,Clerk#000005266,0,accounts haggle. sometimes ir
6610182,356966,F,284070.25,8/16/1992,3-MEDIUM,Clerk#000001249,0,al escapades affix about the silent instructi
6610183,1020757,O,57154.59,12/26/1997,1-URGENT,Clerk#000000351,0,"sts cajole furiously regular, pendi"
6610208,357824,O,191167.42,4/10/1996,5-LOW,Clerk#000007390,0,"nts; regular, ironic deposits boost furiously into the blithely final d"
6610209,433243,O,140692.08,7/20/1997,2-HIGH,Clerk#000001639,0,", even foxes haggle quickly along the final deposits. c"
6610210,509285,F,32161.33,2/4/1994,4-NOT SPECIFIED,Clerk#000001200,0,s along the special requests mold slyly carefully special d
6610211,546620,F,216857.42,3/30/1993,4-NOT SPECIFIED,Clerk#000002719,0,odolites. theodolites
6610212,1028077,O,164097.15,2/10/1996,2-HIGH,Clerk#000009417,0,alms. ideas impress across the bold packages. quickly final requests
6610213,364564,F,190680.93,1/17/1992,2-HIGH,Clerk#000008637,0,"al accounts. fluffily regular accounts haggle ironic, iron"
6610214,1219516,O,305377.18,10/12/1996,1-URGENT,Clerk#000004188,0,ffily regular ideas. blithely pending reques
6610215,389617,F,248825.91,12/19/1993,4-NOT SPECIFIED,Clerk#000005542,0,leep slyly. slyly even ideas was ironic the
6610240,782705,O,135841.03,2/25/1997,1-URGENT,Clerk#000003767,0,al deposits poach blithely slyly bold excuses. furiously even
6610241,1420561,F,219716.91,2/14/1993,1-URGENT,Clerk#000000931,0,"ironic, even instructions sleep "
6610242,1356674,F,85022.24,9/2/1993,4-NOT SPECIFIED,Clerk#000004203,0,uests wake. busily final request
6610243,117820,O,97341.48,1/3/1996,2-HIGH,Clerk#000004820,0,ly final realms. final deposi
6610244,168913,F,126545.18,5/6/1993,1-URGENT,Clerk#000003858,0,he quickly final deposits. furiously silent requests dazzle quic
6610245,900680,F,72409.86,3/23/1993,3-MEDIUM,Clerk#000006048,0,"y regular accounts? special, fi"
6610246,1213040,O,106906.20,12/31/1997,1-URGENT,Clerk#000009555,0,uffily regular frays nag blithely along the sometimes even dependen
6610247,1052002,O,343917.13,9/1/1996,1-URGENT,Clerk#000004099,0,iously bold accounts use slyly carefully ironic foxes
6610272,480373,O,80377.17,11/4/1995,3-MEDIUM,Clerk#000002901,0,s across the carefully final depos
6610273,606112,O,44763.84,6/4/1995,4-NOT SPECIFIED,Clerk#000004119,0,ideas: slyly regular requests
6610274,413527,O,119282.06,3/31/1998,2-HIGH,Clerk#000009652,0,nding requests cajole carefully across the fin
6610275,646031,F,205017.71,4/10/1993,4-NOT SPECIFIED,Clerk#000003921,0,zle fluffily across the silent accounts. regular instructions grow iro
6610276,832343,F,413978.55,11/3/1994,4-NOT SPECIFIED,Clerk#000006330,0,ular attainments. quickly regular platelets wake slyly across the
6610277,175088,F,54745.05,2/14/1993,1-URGENT,Clerk#000008789,0,"se quickly regular, even pack"
6610278,1198564,O,254569.07,6/18/1995,3-MEDIUM,Clerk#000000519,0,ly ironic deposits sleep furiously. furiously special 
6610279,743233,O,100673.01,8/7/1995,3-MEDIUM,Clerk#000001160,0,s across the finally regula
6610304,986263,P,137441.04,3/23/1995,1-URGENT,Clerk#000002622,0,ular requests kindle about the regu
6610305,1110943,F,199565.17,10/30/1993,3-MEDIUM,Clerk#000005327,0,es are. furiously pending packages haggle across the ironic courts. ironic 
6610306,1111123,O,100305.20,10/9/1995,4-NOT SPECIFIED,Clerk#000001377,0,. pending packages u
6610307,1124255,O,92030.82,7/24/1995,4-NOT SPECIFIED,Clerk#000000193,0,y unusual accounts sleep. ironic dependencies maintain bl
6610308,1343846,F,57277.52,7/12/1994,2-HIGH,Clerk#000007551,0,carefully. slyly final deposits wake. blithely express theodolites cajole.
6610309,503878,F,256916.88,6/13/1992,5-LOW,Clerk#000007219,0, even ideas above the fluffily even pinto beans sleep regular 
6610310,1158043,P,205964.63,4/14/1995,2-HIGH,Clerk#000003484,0, ironic theodolites. carefully final requests hang carefully after the spec
6610311,712528,O,60987.73,1/30/1997,4-NOT SPECIFIED,Clerk#000005965,0,lites boost furiously accounts. e
6610336,951866,F,107906.78,11/5/1992,3-MEDIUM,Clerk#000005213,0,special ideas boost across the slyly unusual accounts. furiously close
6610337,511498,O,253284.51,11/9/1997,5-LOW,Clerk#000002271,0,al ideas. quickly fi
6610338,230330,O,240435.29,10/6/1995,1-URGENT,Clerk#000006278,0,"t the ironic, silent deposits-- furiously bold "
6610339,1148336,O,92866.16,2/8/1998,5-LOW,Clerk#000007595,0,eas according to the furiously express deposits boost furiously 
6610340,1076542,F,221909.61,11/7/1993,3-MEDIUM,Clerk#000003708,0,sy requests haggle furiously. quickly ironic pa
6610341,417619,F,240562.81,5/15/1994,3-MEDIUM,Clerk#000006006,0, among the carefully regular foxes. furi
6610342,422326,F,224895.51,2/2/1992,4-NOT SPECIFIED,Clerk#000009146,0,t realms wake above the ideas. quickly bold warthogs are slyly carefully iron
6610343,3166,F,313019.41,5/6/1992,1-URGENT,Clerk#000003110,0,dencies. slyly special pinto bea
6610368,679288,F,20938.21,7/6/1992,2-HIGH,Clerk#000005331,0,ending deposits. blithely regular deposits boost blithely. bold inst
6610369,275125,O,71100.71,7/5/1997,2-HIGH,Clerk#000004778,0,t braids sleep slyly quickly even accounts. ideas 
6610370,1025309,F,374688.94,11/23/1992,2-HIGH,Clerk#000008908,0, requests above the special pinto beans haggle sly
6610371,360305,F,31083.60,10/23/1992,4-NOT SPECIFIED,Clerk#000003411,0,egular packages sleep furiously among the fluffily unusual i
6610372,142751,F,218683.36,6/9/1992,2-HIGH,Clerk#000007557,0,efully against the pendin
6610373,709753,O,68152.11,9/3/1995,5-LOW,Clerk#000008884,0,"lithely. fluffily brave theodolites boost fluffily among the foxes. regular, "
6610374,804092,O,263108.72,9/26/1997,5-LOW,Clerk#000007244,0,"ious instructions run blithely about the regular, ironic ideas. flu"
6610375,860543,O,161675.48,8/16/1996,1-URGENT,Clerk#000004437,0,refully alongside of the express excuses. special requests use across the fur
6610400,137870,F,199930.10,5/26/1992,2-HIGH,Clerk#000007945,0, furiously fluffily
6610401,1172929,F,20855.22,4/14/1992,3-MEDIUM,Clerk#000000651,0,ully permanent sauternes haggle qui
6610402,397307,O,97793.24,7/12/1998,4-NOT SPECIFIED,Clerk#000009245,0,"egular accounts along the bold, brave packages haggle above the furio"
6610403,1034737,F,8522.63,10/21/1994,5-LOW,Clerk#000009982,0,e with the slyly special accounts. furiously even ideas wa
6610404,1296785,O,175331.01,10/14/1996,4-NOT SPECIFIED,Clerk#000007112,0, fluffily ironic platelets. blithely regul
6610405,49814,F,111161.48,6/8/1993,5-LOW,Clerk#000007076,0,st blithely against the express pinto beans. fur
6610406,215503,F,261361.34,6/27/1994,5-LOW,Clerk#000005946,0,sits nag furiously besides the fluffily final hockey players. regula
6610407,927892,O,69452.36,5/24/1995,4-NOT SPECIFIED,Clerk#000008106,0,thely even foxes haggle sly
6610432,1053776,O,258624.24,1/4/1998,4-NOT SPECIFIED,Clerk#000005169,0,ly express theodolites are blithely. regular accoun
6610433,297712,O,115486.21,8/3/1996,5-LOW,Clerk#000004482,0,regular asymptotes. carefully bold dependencies at the ruthles
6610434,1137496,F,85274.27,5/27/1992,4-NOT SPECIFIED,Clerk#000002698,0,"s boost. final, even gifts cajole at the regular "
6610435,383924,O,217811.17,5/14/1998,4-NOT SPECIFIED,Clerk#000003258,0,lites after the dep
6610436,1103041,O,117303.05,1/8/1996,4-NOT SPECIFIED,Clerk#000004851,0,d foxes. unusual dependencies haggle stealthily agains
6610437,288401,O,95079.33,9/15/1995,2-HIGH,Clerk#000009652,0,g furiously sly requests. carefully final depo
6610438,644875,O,6547.33,11/26/1995,4-NOT SPECIFIED,Clerk#000007145,0,t. carefully pending theodolites above the foxes kindle car
6610439,911917,F,174280.70,4/26/1992,2-HIGH,Clerk#000006745,0,yly about the instructions. final
6610464,1057981,F,96205.19,2/26/1993,4-NOT SPECIFIED,Clerk#000002621,0,into beans. sly foxes use quickly alongsid
6610465,473818,F,91868.81,3/13/1994,1-URGENT,Clerk#000008508,0,final instructions. f
6610466,1448701,O,356981.91,4/8/1996,3-MEDIUM,Clerk#000007985,0,y pending foxes play fluffily-- blithel
6610467,302060,F,152527.86,4/20/1994,3-MEDIUM,Clerk#000001911,0,thely ironic packages slee
6610468,705877,F,123705.63,6/10/1993,5-LOW,Clerk#000003004,0, regular accounts use. slyly bold 
6610469,153524,F,91199.32,10/10/1993,3-MEDIUM,Clerk#000005754,0,"ts poach blithely above the quickly special forges. special, pending requests"
6610470,266603,O,83262.41,10/28/1996,1-URGENT,Clerk#000002382,0, cajole about the furiously
6610471,289087,F,271436.87,9/24/1993,5-LOW,Clerk#000007555,0,eas. patterns cajole furiou
6610496,172307,F,154359.23,12/31/1993,2-HIGH,Clerk#000001725,0,"s believe about the express, regular pinto beans. quickly"
6610497,959689,O,95699.62,11/18/1996,2-HIGH,Clerk#000001088,0,jole above the accounts. doggedly ironic accounts nag fluffily across the fin
6610498,1492423,F,25934.26,9/3/1993,1-URGENT,Clerk#000000591,0, unusual deposits doze ironic theodolit
6610499,147853,F,402109.58,5/26/1992,4-NOT SPECIFIED,Clerk#000005465,0,". bold deposits use even, special platelets. special theodolites wake fluffily"
6610500,948001,O,246636.93,3/4/1996,1-URGENT,Clerk#000003118,0,ccounts are. quickl
6610501,21245,F,56496.41,1/8/1995,3-MEDIUM,Clerk#000009787,0,its alongside of the packages
6610502,56443,F,84318.92,11/1/1992,3-MEDIUM,Clerk#000004026,0,fily bold packages sleep furiously along the ironic tithes. someti
6610503,618973,O,129942.35,12/18/1997,3-MEDIUM,Clerk#000004591,0,ccounts cajole among the slyly regular i
6610528,565222,F,166346.22,4/26/1993,1-URGENT,Clerk#000004913,0,g dolphins. furiously special ideas into the slyly final escapades haggle abo
6610529,184093,O,138107.28,10/18/1997,3-MEDIUM,Clerk#000001463,0,y along the carefully regular instr
6610530,1039985,F,115919.24,10/25/1994,3-MEDIUM,Clerk#000005583,0, instructions. furiously express requests haggle blithely iron
6610531,1016152,F,314408.28,11/9/1994,5-LOW,Clerk#000007012,0,luffily ironic accounts. ironic asymptotes are. instructions cajole blith
6610532,942334,F,69448.86,12/17/1994,4-NOT SPECIFIED,Clerk#000004257,0, carefully final theodolites. 
6610533,788446,F,222188.77,11/22/1992,5-LOW,Clerk#000005700,0, have to are along t
6610534,403141,F,222645.13,6/11/1992,5-LOW,Clerk#000009553,0,ns along the carefully final accounts sleep along the silent ac
6610535,82058,O,117872.75,12/11/1996,1-URGENT,Clerk#000009521,0,oxes across the furiously regular requests nag furious pack
6610560,635227,F,44725.04,1/8/1993,2-HIGH,Clerk#000009223,0,en foxes cajole foxes. slyly e
6610561,750499,F,36840.22,10/23/1994,4-NOT SPECIFIED,Clerk#000006465,0,"up the regular, regular ideas. "
6610562,135265,O,96518.50,2/26/1998,1-URGENT,Clerk#000004572,0,long the packages. furiously special pinto beans dazzle above the 
6610563,881786,O,358245.41,7/7/1996,5-LOW,Clerk#000008351,0,. furiously pending deposits cajole along the
6610564,170563,O,69707.83,1/31/1997,4-NOT SPECIFIED,Clerk#000001801,0,ependencies across the blithely final pearls are about
6610565,140482,O,66351.65,5/26/1997,4-NOT SPECIFIED,Clerk#000008618,0,lent requests. bold accounts are after the blit
6610566,78179,F,270455.68,2/18/1992,1-URGENT,Clerk#000004370,0, regular deposits wake slyly accounts. carefully ru
6610567,1445003,O,120227.43,11/19/1995,1-URGENT,Clerk#000007745,0,unts. quickly final excuses are slyly. fluffily pending foxes boost carefu
6610592,1154587,F,202275.38,2/16/1993,2-HIGH,Clerk#000009204,0,y past the furiously even asymptotes. express packages breach carefully furio
6610593,1134314,O,148333.22,2/20/1996,5-LOW,Clerk#000005623,0,te carefully brave theodolites. furiously pending instructions pr
6610594,900947,F,59132.70,10/17/1992,5-LOW,Clerk#000001932,0,s sleep alongside of the regular idea
6610595,1201354,F,88123.67,2/11/1993,1-URGENT,Clerk#000000649,0,"inal, special theodolites wake slyly across the slyly ironic theodolit"
6610596,1131973,O,86151.19,2/9/1997,5-LOW,Clerk#000002781,0,y unusual orbits. f
6610597,554176,F,209055.81,3/24/1992,2-HIGH,Clerk#000005696,0, pending deposits eat blithely fluffy ideas. slyly special platelets afte
6610598,535669,O,127198.11,11/10/1995,4-NOT SPECIFIED,Clerk#000008575,0,ccounts. ruthless foxes nag. blithely exp
6610599,1465442,F,84280.56,11/14/1992,1-URGENT,Clerk#000007314,0,the fluffily express packages. regular foxes affix blith
6610624,1173961,F,181060.86,2/23/1993,2-HIGH,Clerk#000003471,0,regular instructions sleep furiously spec
6610625,1261117,O,250781.65,3/23/1996,3-MEDIUM,Clerk#000004413,0,sual deposits. permanently ironic packages sleep after the furi
6610626,586106,O,81223.90,1/2/1996,3-MEDIUM,Clerk#000007246,0,"out the bold, ironic instructions sublate blithely across the finally"
6610627,177161,F,116792.56,6/21/1993,3-MEDIUM,Clerk#000001937,0,se furiously alongside of the fluffily ironic packages. b
6610628,33353,O,223815.68,5/30/1998,2-HIGH,Clerk#000008849,0,lar deposits mold after the carefully ironic packages; care
6610629,1058674,O,98492.66,7/30/1996,3-MEDIUM,Clerk#000008852,0,accounts. instructions haggle quickly against the fi
6610630,128495,F,111875.35,11/9/1993,2-HIGH,Clerk#000001147,0,ly pending deposits. blithely ironic deposits detect
6610631,1103603,F,123420.72,5/9/1992,4-NOT SPECIFIED,Clerk#000000862,0,"ly. furiously slow accounts haggle carefully. special, ev"
6610656,745633,F,6076.92,12/17/1993,5-LOW,Clerk#000004953,0, platelets haggle never carefully even excuses. slyly regular ideas use
6610657,843082,O,22760.21,9/24/1996,5-LOW,Clerk#000000096,0,o the brave instructions. accounts hag
6610658,648952,F,353867.45,5/30/1994,4-NOT SPECIFIED,Clerk#000006844,0, pending deposits. fur
6610659,433720,F,176718.97,8/5/1994,1-URGENT,Clerk#000005852,0,. pending courts wake. quickly pending excuses are
